Year,User,Rpt_Area,TotalRF_n,YE_n,Black_n,Pelagic_n,Nonpel_n,NotYE_Nonpel_n,pYE,var_pYE,pYE_avgRptArea,var_pYE_avgRptArea,pBRF,var_pBRF,pBRF_avgRptArea,var_pBRF_avgRptArea,pPel,var_pPel,pPel_avgRptArea,var_pPel_avgRptArea,pNonpel,var_pNonpel,pNonpel_avgRptArea,var_pNonpel_avgRptArea,pYEinNonpel,var_pYEinNonpel,pYEinNonpel_avgRptArea,var_pYEinNonpel_avgRptArea,pBRFinPel,varBRFinPel,pBRFinPel_avgRptArea,var_pBRFinPel_avgRptArea,DSR_n,pDSR,var_pDSR,pDSR_avgRptArea,var_DSR_avgRptArea,pDSRinNonP,var_pDSRinNonP,pDSRinNonP_avgRptArea,var_DSRinNonP_avgRptArea,Slope_n,pSlope,var_pSlope,pSlope_avgRptArea,var_pSlopeAvgRptArea,pSlopeinNonP,var_pSlopeinNonP,pSlopeinNonP_avgRptArea,var_pSlopeinNonPAvgRptArea
2010,charter,CSEO,7276,1343,"4,821",5005,2271,928,0.184579439,2.07E-05,0.128165469,6.82E-03,0.662589335,3.07E-05,0.72038119,0.004331934,0.687877955,2.95E-05,0.747799087,0.005833766,0.312122045,2.95E-05,0.252200913,0.005832361,0.591369441,0.000106454,0.471244356,0.024336318,0.963236763,7.08E-06,0.964645022,0.00042332,2071,0.284634415,2.80E-05,0.225068649,0.006838165,0.911933069,3.54E-05,0.878873935,0.004259782,200,0.027487631,3.67E-06,0.027132264,0.000119014,0.088066931,3.54E-05,0.121126065,0.004261477
2011,charter,CSEO,8749,675,"6,756",6892,1857,1182,0.077151674,8.14E-06,0.128165469,6.82E-03,0.772202537,2.01E-05,0.72038119,0.004331934,0.787747171,1.91E-05,0.747799087,0.005833766,0.212252829,1.91E-05,0.252200913,0.005832361,0.363489499,0.000124658,0.471244356,0.024336318,0.980266976,2.81E-06,0.964645022,0.00042332,1625,0.185735513,1.73E-05,0.225068649,0.006838165,0.875067313,5.89E-05,0.878873935,0.004259782,232,0.026517316,2.95E-06,0.027132264,0.000119014,0.124932687,5.89E-05,0.121126065,0.004261477
2012,charter,CSEO,8443,727,"6,108",6287,2156,1429,0.086106834,9.32E-06,0.128165469,6.82E-03,0.723439536,2.37E-05,0.72038119,0.004331934,0.744640531,2.25E-05,0.747799087,0.005833766,0.255359469,2.25E-05,0.252200913,0.005832361,0.337198516,0.00010371,0.471244356,0.024336318,0.971528551,4.40E-06,0.964645022,0.00042332,1944,0.230249911,2.10E-05,0.225068649,0.006838165,0.901669759,4.11E-05,0.878873935,0.004259782,212,0.025109558,2.90E-06,0.027132264,0.000119014,0.098330241,4.11E-05,0.121126065,0.004261477
2013,charter,CSEO,12349,742,"9,758",9913,2436,1694,0.060085837,4.57E-06,0.128165469,6.82E-03,0.79018544,1.34E-05,0.72038119,0.004331934,0.802737064,1.28E-05,0.747799087,0.005833766,0.197262936,1.28E-05,0.252200913,0.005832361,0.304597701,8.70E-05,0.471244356,0.024336318,0.984363967,1.55E-06,0.964645022,0.00042332,2049,0.165924366,1.12E-05,0.225068649,0.006838165,0.841133005,5.49E-05,0.878873935,0.004259782,387,0.03133857,2.46E-06,0.027132264,0.000119014,0.158866995,5.49E-05,0.121126065,0.004261477
2014,charter,CSEO,9962,583,"7,668",8002,1960,1377,0.058522385,5.53E-06,0.128165469,6.82E-03,0.769724955,1.78E-05,0.72038119,0.004331934,0.803252359,1.59E-05,0.747799087,0.005833766,0.196747641,1.59E-05,0.252200913,0.005832361,0.29744898,0.000106673,0.471244356,0.024336318,0.958260435,5.00E-06,0.964645022,0.00042332,1529,0.153483236,1.30E-05,0.225068649,0.006838165,0.780102041,8.76E-05,0.878873935,0.004259782,431,0.043264405,4.16E-06,0.027132264,0.000119014,0.219897959,8.76E-05,0.121126065,0.004261477
2015,charter,CSEO,12096,893,"9,129",9405,2691,1798,0.073826058,5.65E-06,0.128165469,6.82E-03,0.754712302,1.53E-05,0.72038119,0.004331934,0.777529762,1.43E-05,0.747799087,0.005833766,0.222470238,1.43E-05,0.252200913,0.005832361,0.331846897,8.24E-05,0.471244356,0.024336318,0.970653907,3.03E-06,0.964645022,0.00042332,2323,0.192046958,1.28E-05,0.225068649,0.006838165,0.863247863,4.39E-05,0.878873935,0.004259782,368,0.03042328,2.44E-06,0.027132264,0.000119014,0.136752137,4.39E-05,0.121126065,0.004261477
2016,charter,CSEO,9527,848,"6,915",7290,2237,1389,0.089010182,8.51E-06,0.128165469,6.82E-03,0.725831846,2.09E-05,0.72038119,0.004331934,0.76519366,1.89E-05,0.747799087,0.005833766,0.23480634,1.89E-05,0.252200913,0.005832361,0.379079124,0.000105268,0.471244356,0.024336318,0.948559671,6.69E-06,0.964645022,0.00042332,1940,0.203631783,1.70E-05,0.225068649,0.006838165,0.867232901,5.15E-05,0.878873935,0.004259782,297,0.031174557,3.17E-06,0.027132264,0.000119014,0.132767099,5.15E-05,0.121126065,0.004261477
2017,charter,CSEO,9395,787,"6,977",7463,1932,1145,0.083767962,8.17E-06,0.128165469,6.82E-03,0.742629058,2.03E-05,0.72038119,0.004331934,0.794358701,1.74E-05,0.747799087,0.005833766,0.205641299,1.74E-05,0.252200913,0.005832361,0.407349896,0.000125021,0.471244356,0.024336318,0.934878735,8.16E-06,0.964645022,0.00042332,1539,0.163810538,1.46E-05,0.225068649,0.006838165,0.796583851,8.39E-05,0.878873935,0.004259782,393,0.041830761,4.27E-06,0.027132264,0.000119014,0.203416149,8.39E-05,0.121126065,0.004261477
2018,charter,CSEO,11142,876,"8,420",9033,2109,1233,0.078621432,6.50E-06,0.128165469,6.82E-03,0.755699156,1.66E-05,0.72038119,0.004331934,0.810716209,1.38E-05,0.747799087,0.005833766,0.189283791,1.38E-05,0.252200913,0.005832361,0.415362731,0.000115198,0.471244356,0.024336318,0.932137717,7.00E-06,0.964645022,0.00042332,1614,0.144857297,1.11E-05,0.225068649,0.006838165,0.765291607,8.52E-05,0.878873935,0.004259782,495,0.044426494,3.81E-06,0.027132264,0.000119014,0.234708393,8.52E-05,0.121126065,0.004261477
2019,charter,CSEO,7313,437,"5,942",6378,935,498,0.059756598,7.68E-06,0.128165469,6.82E-03,0.812525639,2.08E-05,0.72038119,0.004331934,0.872145494,1.52E-05,0.747799087,0.005833766,0.127854506,1.52E-05,0.252200913,0.005832361,0.467379679,0.000266527,0.471244356,0.024336318,0.931640013,9.99E-06,0.964645022,0.00042332,843,0.115274169,1.39E-05,0.225068649,0.006838165,0.901604278,9.50E-05,0.878873935,0.004259782,92,0.012580336,1.70E-06,0.027132264,0.000119014,0.098395722,9.50E-05,0.121126065,0.004261477
1998,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
1999,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2000,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2001,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2002,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2003,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2004,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2005,private,CSEO,0,,,,,,,,0.142988975,0.001718927,,,0.566580966,0.001018245,,,0.606261753,0.001423522,,,0.393738247,0.001422701,,,0.363229633,0.009760812,,,0.935236496,0.000609727,,,,0.353353011,0.001142312,,,0.898769463,0.002658533,,,,0.040385236,0.00047317,,,0.101230537,0.002658707
2006,private,CSEO,518,91,278,291,227,136,0.175675676,0.000280104,0.142988975,0.001718927,0.536679537,0.000480957,0.566580966,0.001018245,0.561776062,0.000476177,0.606261753,0.001423522,0.438223938,0.000476177,0.393738247,0.001422701,0.400881057,0.001062723,0.363229633,0.009760812,0.95532646,0.000147165,0.935236496,0.000609727,210,0.405405405,0.000466251,0.353353011,0.001142312,0.925110132,0.000306555,0.898769463,0.002658533,17,0.032818533,6.14E-05,0.040385236,0.00047317,0.074889868,0.000306555,0.101230537,0.002658707
2007,private,CSEO,356,67,202,224,132,65,0.188202247,0.000430372,0.142988975,0.001718927,0.56741573,0.000691423,0.566580966,0.001018245,0.629213483,0.000657194,0.606261753,0.001423522,0.370786517,0.000657194,0.393738247,0.001422701,0.507575758,0.001907959,0.363229633,0.009760812,0.901785714,0.000397167,0.935236496,0.000609727,127,0.356741573,0.000646414,0.353353011,0.001142312,0.962121212,0.000278198,0.898769463,0.002658533,5,0.014044944,3.90E-05,0.040385236,0.00047317,0.037878788,0.000278198,0.101230537,0.002658707
2008,private,CSEO,526,57,304,326,200,143,0.108365019,0.000184042,0.142988975,0.001718927,0.577946768,0.000464618,0.566580966,0.001018245,0.619771863,0.000448866,0.606261753,0.001423522,0.380228137,0.000448866,0.393738247,0.001422701,0.285,0.001023995,0.363229633,0.009760812,0.932515337,0.000193632,0.935236496,0.000609727,192,0.365019011,0.000441486,0.353353011,0.001142312,0.96,0.000192965,0.898769463,0.002658533,8,0.015209125,2.85E-05,0.040385236,0.00047317,0.04,0.000192965,0.101230537,0.002658707
2009,private,CSEO,390,39,228,236,154,115,0.1,0.000231362,0.142988975,0.001718927,0.584615385,0.000624268,0.566580966,0.001018245,0.605128205,0.000614262,0.606261753,0.001423522,0.394871795,0.000614262,0.393738247,0.001422701,0.253246753,0.001236032,0.363229633,0.009760812,0.966101695,0.000139358,0.935236496,0.000609727,150,0.384615385,0.000608448,0.353353011,0.001142312,0.974025974,0.000165355,0.898769463,0.002658533,4,0.01025641,2.61E-05,0.040385236,0.00047317,0.025974026,0.000165355,0.101230537,0.002658707
2010,private,CSEO,909,91,534,595,314,223,0.100110011,9.92E-05,0.142988975,0.001718927,0.587458746,0.000266906,0.566580966,0.001018245,0.654565457,0.000249019,0.606261753,0.001423522,0.345434543,0.000249019,0.393738247,0.001422701,0.289808917,0.000657571,0.363229633,0.009760812,0.897478992,0.0001549,0.935236496,0.000609727,291,0.320132013,0.0002397,0.353353011,0.001142312,0.926751592,0.000216879,0.898769463,0.002658533,23,0.02530253,2.72E-05,0.040385236,0.00047317,0.073248408,0.000216879,0.101230537,0.002658707
2011,private,CSEO,714,125,384,407,307,182,0.175070028,0.000202553,0.142988975,0.001718927,0.537815126,0.000348626,0.566580966,0.001018245,0.570028011,0.000343753,0.606261753,0.001423522,0.429971989,0.000343753,0.393738247,0.001422701,0.407166124,0.00078883,0.363229633,0.009760812,0.943488943,0.000131324,0.935236496,0.000609727,272,0.380952381,0.000330754,0.353353011,0.001142312,0.885993485,0.000330095,0.898769463,0.002658533,35,0.049019608,6.54E-05,0.040385236,0.00047317,0.114006515,0.000330095,0.101230537,0.002658707
2012,private,CSEO,669,97,393,409,260,163,0.144992526,0.000185583,0.142988975,0.001718927,0.587443946,0.000362805,0.566580966,0.001018245,0.611360239,0.000355687,0.606261753,0.001423522,0.388639761,0.000355687,0.393738247,0.001422701,0.373076923,0.000903052,0.363229633,0.009760812,0.960880196,9.21E-05,0.935236496,0.000609727,232,0.346786248,0.00033911,0.353353011,0.001142312,0.892307692,0.000371022,0.898769463,0.002658533,28,0.041853513,6.00E-05,0.040385236,0.00047317,0.107692308,0.000371022,0.101230537,0.002658707
2013,private,CSEO,918,91,553,586,332,241,0.09912854,9.74E-05,0.142988975,0.001718927,0.602396514,0.000261194,0.566580966,0.001018245,0.638344227,0.000251757,0.606261753,0.001423522,0.361655773,0.000251757,0.393738247,0.001422701,0.274096386,0.00060111,0.363229633,0.009760812,0.943686007,9.08E-05,0.935236496,0.000609727,289,0.314814815,0.000235231,0.353353011,0.001142312,0.870481928,0.000340614,0.898769463,0.002658533,43,0.046840959,4.87E-05,0.040385236,0.00047317,0.129518072,0.000340614,0.101230537,0.002658707
2014,private,CSEO,1060,100,607,661,399,299,0.094339623,8.07E-05,0.142988975,0.001718927,0.572641509,0.000231089,0.566580966,0.001018245,0.623584906,0.000221649,0.606261753,0.001423522,0.376415094,0.000221649,0.393738247,0.001422701,0.250626566,0.000471892,0.363229633,0.009760812,0.918305598,0.000113667,0.935236496,0.000609727,315,0.297169811,0.000197224,0.353353011,0.001142312,0.789473684,0.0004176,0.898769463,0.002658533,84,0.079245283,6.89E-05,0.040385236,0.00047317,0.210526316,0.0004176,0.101230537,0.002658707
2015,private,CSEO,1067,130,619,652,415,285,0.121836926,0.000100368,0.142988975,0.001718927,0.580131209,0.000228498,0.566580966,0.001018245,0.611059044,0.000222951,0.606261753,0.001423522,0.388940956,0.000222951,0.393738247,0.001422701,0.313253012,0.000519627,0.363229633,0.009760812,0.949386503,7.38E-05,0.935236496,0.000609727,369,0.345829428,0.000212225,0.353353011,0.001142312,0.889156627,0.000238061,0.898769463,0.002658533,46,0.043111528,3.87E-05,0.040385236,0.00047317,0.110843373,0.000238061,0.101230537,0.002658707
2016,private,CSEO,1172,145,600,641,531,386,0.123720137,9.26E-05,0.142988975,0.001718927,0.511945392,0.000213371,0.566580966,0.001018245,0.546928328,0.000211612,0.606261753,0.001423522,0.453071672,0.000211612,0.393738247,0.001422701,0.27306968,0.000374533,0.363229633,0.009760812,0.936037441,9.35E-05,0.935236496,0.000609727,445,0.379692833,0.000201133,0.353353011,0.001142312,0.838041431,0.000256091,0.898769463,0.002658533,86,0.07337884,5.81E-05,0.040385236,0.00047317,0.161958569,0.000256091,0.101230537,0.002658707
2017,private,CSEO,764,159,385,407,357,198,0.208115183,0.000215994,0.142988975,0.001718927,0.503926702,0.000327634,0.566580966,0.001018245,0.532722513,0.000326251,0.606261753,0.001423522,0.467277487,0.000326251,0.393738247,0.001422701,0.445378151,0.000693866,0.363229633,0.009760812,0.945945946,0.000125941,0.935236496,0.000609727,306,0.40052356,0.000314685,0.353353011,0.001142312,0.857142857,0.000343958,0.898769463,0.002658533,51,0.066753927,8.16E-05,0.040385236,0.00047317,0.142857143,0.000343958,0.101230537,0.002658707
2018,private,CSEO,786,136,472,499,287,151,0.17302799,0.000182279,0.142988975,0.001718927,0.600508906,0.000305602,0.566580966,0.001018245,0.634860051,0.000295303,0.606261753,0.001423522,0.365139949,0.000295303,0.393738247,0.001422701,0.473867596,0.000871738,0.363229633,0.009760812,0.945891784,0.000102772,0.935236496,0.000609727,255,0.324427481,0.000279203,0.353353011,0.001142312,0.888501742,0.000346386,0.898769463,0.002658533,32,0.040712468,4.98E-05,0.040385236,0.00047317,0.111498258,0.000346386,0.101230537,0.002658707
2019,private,CSEO,745,141,433,483,262,121,0.189261745,0.000206239,0.142988975,0.001718927,0.581208054,0.000327158,0.566580966,0.001018245,0.648322148,0.000306452,0.606261753,0.001423522,0.351677852,0.000306452,0.393738247,0.001422701,0.538167939,0.000952273,0.363229633,0.009760812,0.896480331,0.000192538,0.935236496,0.000609727,242,0.324832215,0.00029478,0.353353011,0.001142312,0.923664122,0.000270148,0.898769463,0.002658533,20,0.026845638,3.51E-05,0.040385236,0.00047317,0.076335878,0.000270148,0.101230537,0.002658707
1998,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
1999,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2000,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2001,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2002,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2003,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2004,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2005,charter,EYKT,0,,,,,,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,,,,0.001992813,1.59E-05,,,,
2006,charter,EYKT,142,3,122,122,20,17,0.021126761,0.00014667,0.007042991,9.43E-05,0.85915493,0.000858211,0.883258471,0.002851898,0.85915493,0.000858211,0.898996457,0.000941815,0.14084507,0.000858211,0.101003543,0.00094057,,,,,1,0,0.982617418,0.0016606,20,0.14084507,0.000858211,0.09901073,0.000890345,,,,,0,0,0,0.001992813,1.59E-05,,,,
2007,charter,EYKT,17,0,17,17,0,0,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2008,charter,EYKT,4,1,1,1,3,2,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,3,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2009,charter,EYKT,73,0,65,66,7,7,0,0,0.007042991,9.43E-05,0.890410959,0.001355268,0.883258471,0.002851898,0.904109589,0.001204103,0.898996457,0.000941815,0.095890411,0.001204103,0.101003543,0.00094057,,,,,0.984848485,0.000229568,0.982617418,0.0016606,7,0.095890411,0.001204103,0.09901073,0.000890345,,,,,0,0,0,0.001992813,1.59E-05,,,,
2010,charter,EYKT,39,0,19,21,18,18,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,18,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2011,charter,EYKT,1,0,0,0,1,1,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,1,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2012,charter,EYKT,21,1,14,14,7,6,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,7,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2013,charter,EYKT,36,0,33,33,3,3,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,3,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2014,charter,EYKT,41,0,36,36,5,5,,,0.007042991,9.43E-05,,,0.883258471,0.002851898,,,0.898996457,0.000941815,,,0.101003543,0.00094057,,,,,,,0.982617418,0.0016606,5,,,0.09901073,0.000890345,,,,,0,,,0.001992813,1.59E-05,,,,
2015,charter,EYKT,98,0,92,92,6,6,0,0,0.007042991,9.43E-05,0.93877551,0.000592537,0.883258471,0.002851898,0.93877551,0.000592537,0.898996457,0.000941815,0.06122449,0.000592537,0.101003543,0.00094057,,,,,1,0,0.982617418,0.0016606,6,0.06122449,0.000592537,0.09901073,0.000890345,,,,,0,0,0,0.001992813,1.59E-05,,,,
