year,user,area,totalrf_n,ye_n,black_n,pelagic_n,nonpel_n,dsr_n,slope_n,dat_yr,cat,data_source,,,
2013,charter,CSEO,12349,742,9758,9930,2419,2049,370,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2014,charter,CSEO,9962,583,7668,8002,1960,1529,431,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2014,charter,CSEO,9962,583,7668,8203,1759,1529,230,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2015,charter,CSEO,12096,893,9129,9405,2691,2323,368,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2015,charter,CSEO,12096,893,9129,9499,2597,2323,274,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2016,charter,CSEO,9527,848,6915,7290,2237,1940,297,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,charter,CSEO,9527,848,6915,7322,2205,1940,265,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2017,charter,CSEO,9395,787,6977,7463,1932,1539,393,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,charter,CSEO,9395,787,6977,7512,1883,1539,344,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2018,charter,CSEO,11142,876,8420,9033,2109,1614,495,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,charter,CSEO,11142,876,8420,9117,2025,1614,411,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,charter,CSEO,7313,437,5942,6378,935,843,92,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,charter,CSEO,7315,437,5942,6386,929,843,86,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,CSEO,573,168,183,254,319,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,private,CSEO,488,173,230,249,239,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,private,CSEO,381,93,152,201,180,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,private,CSEO,438,139,148,210,228,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,CSEO,359,105,167,190,169,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,private,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,private,CSEO,477,132,261,275,202,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2013,private,CSEO,918,91,553,586,332,289,43,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2013,private,CSEO,918,91,553,589,329,289,40,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2014,private,CSEO,1060,100,607,661,399,315,84,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2014,private,CSEO,1060,100,607,702,358,315,43,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2016,private,CSEO,1172,145,600,641,531,445,86,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,private,CSEO,1172,145,600,642,530,445,85,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2017,private,CSEO,764,159,385,407,357,306,51,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,private,CSEO,764,159,385,415,349,306,43,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2018,private,CSEO,786,136,472,499,287,255,32,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,private,CSEO,787,136,472,499,288,256,32,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,private,CSEO,745,141,433,483,262,242,20,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,private,CSEO,745,141,433,485,260,242,18,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,charter,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,charter,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,charter,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,charter,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,charter,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2007,charter,EWYKT,987,25,868,868,119,119,0,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2007,charter,EWYKT,984,25,865,865,119,119,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2012,charter,EWYKT,1781,57,1459,1494,287,266,21,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2012,charter,EWYKT,1781,57,1459,1515,266,266,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2018,charter,EWYKT,2534,43,2227,2275,259,246,13,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,charter,EWYKT,2534,43,2227,2287,247,246,1,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,charter,EWYKT,3043,59,2643,2751,292,290,2,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,charter,EWYKT,3043,59,2643,2752,291,290,1,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,private,EWYKT,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2020,private,EWYKT,89,0,88,88,1,1,0,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2021,private,EWYKT,295,0,294,294,1,1,0,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1998,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,NSEI,29,20,0,1,28,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,charter,NSEI,15,13,1,1,14,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,charter,NSEI,71,11,36,59,12,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,charter,NSEI,168,68,67,71,97,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,charter,NSEI,134,99,15,15,119,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,charter,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,charter,NSEI,501,219,138,179,322,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2013,charter,NSEI,938,102,470,621,317,222,96,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2013,charter,NSEI,939,102,470,621,318,222,96,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2016,charter,NSEI,1243,106,388,757,486,326,187,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,charter,NSEI,1274,106,388,784,490,330,160,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2017,charter,NSEI,1430,69,458,1149,281,204,82,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,charter,NSEI,1477,72,473,1193,284,207,77,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2018,charter,NSEI,2859,108,612,2331,528,438,184,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,charter,NSEI,3015,116,638,2475,540,450,90,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,charter,NSEI,3285,71,691,2641,644,337,307,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,charter,NSEI,3338,76,691,2787,551,347,204,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,private,NSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2006,private,NSEI,190,29,61,106,84,65,19,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2007,private,NSEI,209,49,35,76,133,90,43,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2008,private,NSEI,172,36,22,56,116,99,17,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2009,private,NSEI,221,48,32,67,154,124,30,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2010,private,NSEI,409,66,83,143,266,221,45,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2011,private,NSEI,348,64,72,136,212,148,64,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2012,private,NSEI,514,35,178,270,244,177,67,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2013,private,NSEI,983,79,362,591,392,262,130,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2014,private,NSEI,1123,73,335,559,564,383,181,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2015,private,NSEI,1216,89,313,599,617,380,237,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,private,NSEI,1311,84,200,578,733,405,328,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,private,NSEI,1139,88,312,783,356,272,84,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,private,NSEI,1257,102,234,712,545,410,135,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,private,NSEI,1884,118,411,1214,670,467,203,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1998,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,charter,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2006,charter,NSEO,874,252,435,454,420,415,5,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2007,charter,NSEO,1597,334,958,983,614,606,8,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2008,charter,NSEO,1974,374,1165,1173,801,758,43,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2009,charter,NSEO,1053,204,695,710,343,333,10,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2010,charter,NSEO,1470,265,908,940,530,502,28,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2011,charter,NSEO,2910,307,2163,2215,695,641,54,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2012,charter,NSEO,2666,256,1826,1908,758,683,75,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2013,charter,NSEO,3190,258,2270,2447,743,645,98,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2014,charter,NSEO,2919,266,1955,2095,824,721,103,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2015,charter,NSEO,3373,342,2273,2389,984,889,95,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,charter,NSEO,2808,297,1862,2060,748,696,52,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,charter,NSEO,3233,238,2375,2635,598,549,49,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,charter,NSEO,3767,263,2920,3199,568,501,67,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,charter,NSEO,3711,233,2763,3112,599,450,149,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1998,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,NSEO,15,15,0,0,15,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,private,NSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,private,NSEO,55,36,12,12,43,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2009,private,NSEO,78,18,28,39,39,35,4,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2009,private,NSEO,71,16,27,38,33,33,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2016,private,NSEO,502,55,338,367,135,130,5,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,private,NSEO,502,55,338,368,134,130,4,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,private,NSEO,609,35,471,526,83,70,13,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,private,NSEO,609,35,471,531,78,70,8,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,SSEI,346,147,34,64,282,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,charter,SSEI,107,52,16,22,85,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,charter,SSEI,95,33,41,42,53,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,charter,SSEI,140,26,53,73,67,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,charter,SSEI,189,31,106,119,70,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,charter,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,charter,SSEI,776,191,117,251,525,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2006,charter,SSEI,990,207,320,364,626,505,121,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2006,charter,SSEI,986,203,320,364,622,501,121,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2007,charter,SSEI,1025,256,150,204,821,647,174,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2007,charter,SSEI,1002,250,150,204,798,633,165,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2013,charter,SSEI,1132,174,371,457,675,559,116,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2013,charter,SSEI,1132,174,371,459,673,559,114,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2014,charter,SSEI,1980,335,471,557,1423,1110,313,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2014,charter,SSEI,1980,335,471,563,1417,1110,307,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2015,charter,SSEI,3950,618,1048,1185,2765,2204,561,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2015,charter,SSEI,3936,617,1048,1185,2751,2190,561,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2016,charter,SSEI,3109,485,757,958,2151,1721,430,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
