"Year","User","Rpt_Area","TotalRF_n","YE_n","Black_n","Pelagic_n","Nonpel_n","NotYE_Nonpel_n","pYE","var_pYE","pYE_avgRptArea","var_pYE_avgRptArea","pBRF","var_pBRF","pBRF_avgRptArea","var_pBRF_avgRptArea","pPel","var_pPel","pPel_avgRptArea","var_pPel_avgRptArea","pNonpel","var_pNonpel","pNonpel_avgRptArea","var_pNonpel_avgRptArea","pYEinNonpel","var_pYEinNonpel","pYEinNonpel_avgRptArea","var_pYEinNonpel_avgRptArea","pBRFinPel","varBRFinPel","pBRFinPel_avgRptArea","var_pBRFinPel_avgRptArea"
2003,"charter","AFOGNAK",9,0,9,9,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2004,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2005,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2006,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2007,"charter","AFOGNAK",13,0,13,13,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2008,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2009,"charter","AFOGNAK",31,1,30,30,1,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2010,"charter","AFOGNAK",18,0,18,18,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2011,"charter","AFOGNAK",13,6,5,7,6,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2012,"charter","AFOGNAK",20,0,20,20,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2013,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2014,"charter","AFOGNAK",32,2,12,28,4,2,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2015,"charter","AFOGNAK",54,6,29,47,7,1,0.111111111111111,0.00186349871884463,0.116780045351474,0.00116113089852245,0.537037037037037,0.00469109920542485,0.503212396069539,0.00444350380707945,0.87037037037037,0.00212878846701348,0.858654572940287,0.0015055577019235,0.12962962962963,0.00212878846701348,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2016,"charter","AFOGNAK",28,12,10,11,17,5,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2017,"charter","AFOGNAK",20,6,14,14,6,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2018,"charter","AFOGNAK",98,12,46,83,15,3,0.122448979591837,0.00110778584524489,0.116780045351474,0.00116113089852245,0.469387755102041,0.00256765866455987,0.503212396069539,0.00444350380707945,0.846938775510204,0.00133642769121114,0.858654572940287,0.0015055577019235,0.153061224489796,0.00133642769121114,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,0.55421686746988,0.00301293330831407,NA,NA
2019,"charter","AFOGNAK",5,5,0,0,5,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2020,"charter","AFOGNAK",5,0,0,5,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2021,"charter","AFOGNAK",109,8,28,96,13,5,0.073394495412844,0.000629701328295723,NA,NA,0.256880733944954,0.00176752798585978,NA,NA,0.880733944954128,0.000972607992219136,NA,NA,0.119266055045872,0.000972607992219136,NA,NA,NA,NA,NA,NA,0.291666666666667,0.00217470760233918,NA,NA
2022,"charter","AFOGNAK",6,0,0,4,2,2,0,0,0.114557823129252,3.20997734279237e-05,0,0,0.548027210884354,0.00310399224465801,0.666666666666667,0.0444444444444444,0.856802721088435,4.72247015630559e-05,0.333333333333333,0.0444444444444444,0.143197278911565,4.84991127459544e-05,0,0,NA,NA,0,0,0.638646895273401,0.00352471230872562
2023,"charter","AFOGNAK",43,5,35,36,7,2,0.116279069767442,0.00244662494527286,0.114557823129252,3.20997734279237e-05,0.813953488372093,0.00360555255092843,0.548027210884354,0.00310399224465801,0.837209302325581,0.00324499729583559,0.856802721088435,4.72247015630559e-05,0.162790697674419,0.00324499729583559,0.143197278911565,4.84991127459544e-05,0.714285714285714,0.0340136054421769,NA,NA,0.972222222222222,0.000771604938271605,0.638646895273401,0.00352471230872562
1993,"charter","CI",42,6,14,36,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"charter","CI",2,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,"charter","CI",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"charter","CI",16,1,7,13,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"charter","CI",20,6,10,12,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"charter","CI",6,0,2,2,4,4,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
1999,"charter","CI",40,3,31,36,4,1,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2000,"charter","CI",40,2,12,30,10,8,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2001,"charter","CI",9,0,9,9,0,0,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2002,"charter","CI",35,3,11,31,4,1,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2003,"charter","CI",61,4,31,52,9,5,0.0655737704918033,0.00102123085192153,0.0381712755550539,0.00373943265799675,0.508196721311475,0.0041655468959957,0.415922105599676,0.022956851736574,0.852459016393443,0.00209621069604945,0.926810665287881,0.00408933140395719,0.147540983606557,0.00209621069604945,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.596153846153846,0.00472067525234946,0.448187340853965,0.0246179740606362
2004,"charter","CI",12,0,6,12,0,0,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2005,"charter","CI",64,0,29,62,2,2,0,0,0.0381712755550539,0.00373943265799675,0.453125,0.00393337673611111,0.415922105599676,0.022956851736574,0.96875,0.000480530753968254,0.926810665287881,0.00408933140395719,0.03125,0.000480530753968254,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.467741935483871,0.00408130192251923,0.448187340853965,0.0246179740606362
2006,"charter","CI",25,2,10,20,5,3,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2007,"charter","CI",35,0,10,30,5,5,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2008,"charter","CI",6,2,2,4,2,0,NA,NA,0.0381712755550539,0.00373943265799675,NA,NA,0.415922105599676,0.022956851736574,NA,NA,0.926810665287881,0.00408933140395719,NA,NA,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,NA,NA,0.448187340853965,0.0246179740606362
2009,"charter","CI",71,16,23,54,17,1,0.225352112676056,0.00249383625697849,0.0381712755550539,0.00373943265799675,0.323943661971831,0.00312863094057302,0.415922105599676,0.022956851736574,0.76056338028169,0.00260152464080256,0.926810665287881,0.00408933140395719,0.23943661971831,0.00260152464080256,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.425925925925926,0.00461345342547299,0.448187340853965,0.0246179740606362
2010,"charter","CI",330,2,84,321,9,7,0.00606060606060606,1.83096508048152e-05,0.0381712755550539,0.00373943265799675,0.254545454545455,0.000576754000351679,0.415922105599676,0.022956851736574,0.972727272727273,8.06350322791327e-05,0.926810665287881,0.00408933140395719,0.0272727272727273,8.06350322791329e-05,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.261682242990654,0.000603764520918857,0.448187340853965,0.0246179740606362
2011,"charter","CI",92,6,30,82,10,4,0.0652173913043478,0.000669934979953884,0.0381712755550539,0.00373943265799675,0.326086956521739,0.00241488190448493,0.415922105599676,0.022956851736574,0.891304347826087,0.00106462535574067,0.926810665287881,0.00408933140395719,0.108695652173913,0.00106462535574067,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.365853658536585,0.00286425628483927,0.448187340853965,0.0246179740606362
2012,"charter","CI",210,8,35,190,20,12,0.0380952380952381,0.00017533010014213,0.0381712755550539,0.00373943265799675,0.166666666666667,0.000664540138224349,0.415922105599676,0.022956851736574,0.904761904761905,0.000412286126571841,0.926810665287881,0.00408933140395719,0.0952380952380952,0.000412286126571841,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.184210526315789,0.000795116446085975,0.448187340853965,0.0246179740606362
2013,"charter","CI",74,0,28,69,5,5,0,0,0.0381712755550539,0.00373943265799675,0.378378378378378,0.00322202987882366,0.415922105599676,0.022956851736574,0.932432432432432,0.000863043717542051,0.926810665287881,0.00408933140395719,0.0675675675675676,0.000863043717542052,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.405797101449275,0.00354596785153885,0.448187340853965,0.0246179740606362
2014,"charter","CI",153,2,59,146,7,5,0.0130718954248366,8.48751379923601e-05,0.0381712755550539,0.00373943265799675,0.38562091503268,0.00155866726922394,0.415922105599676,0.022956851736574,0.954248366013072,0.000287226460358251,0.926810665287881,0.00408933140395719,0.0457516339869281,0.000287226460358252,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.404109589041096,0.00166072433852505,0.448187340853965,0.0246179740606362
2015,"charter","CI",63,0,27,63,0,0,0,0,0.0381712755550539,0.00373943265799675,0.428571428571429,0.00394996708360764,0.415922105599676,0.022956851736574,1,0,0.926810665287881,0.00408933140395719,0,0,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.428571428571429,0.00394996708360764,0.448187340853965,0.0246179740606362
2016,"charter","CI",110,0,41,105,5,5,0,0,0.0381712755550539,0.00373943265799675,0.372727272727273,0.00214496929259231,0.415922105599676,0.022956851736574,0.954545454545455,0.000398058988551065,0.926810665287881,0.00408933140395719,0.0454545454545455,0.000398058988551065,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.39047619047619,0.002288505145648,0.448187340853965,0.0246179740606362
2017,"charter","CI",77,2,45,74,3,1,0.025974025974026,0.000332886525641139,0.0381712755550539,0.00373943265799675,0.584415584415584,0.00319571064615494,0.415922105599676,0.022956851736574,0.961038961038961,0.000492672057948887,0.926810665287881,0.00408933140395719,0.038961038961039,0.000492672057948886,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.608108108108108,0.00326455667070254,0.448187340853965,0.0246179740606362
2018,"charter","CI",307,12,140,287,20,8,0.0390879478827362,0.000122745360173375,0.0381712755550539,0.00373943265799675,0.456026058631922,0.000810674158433192,0.415922105599676,0.022956851736574,0.93485342019544,0.000199027787399766,0.926810665287881,0.00408933140395719,0.0651465798045603,0.000199027787399766,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.48780487804878,0.000873605870631451,0.448187340853965,0.0246179740606362
2019,"charter","CI",281,5,216,270,11,6,0.0177935943060498,6.24177939561483e-05,0.0381712755550539,0.00373943265799675,0.768683274021352,0.000635033208075596,0.415922105599676,0.022956851736574,0.96085409252669,0.000134333947862145,0.926810665287881,0.00408933140395719,0.0391459074733096,0.000134333947862145,0.0731893347121194,0.00408742862445139,NA,NA,NA,NA,0.8,0.000594795539033457,0.448187340853965,0.0246179740606362
2020,"charter","CI",159,3,123,151,8,5,0.0188679245283019,0.000117164088305672,NA,NA,0.773584905660377,0.00110855252781521,NA,NA,0.949685534591195,0.000302423544173615,NA,NA,0.050314465408805,0.000302423544173615,NA,NA,NA,NA,NA,NA,0.814569536423841,0.0010069733783606,NA,NA
2021,"charter","CI",103,2,83,99,4,2,0.0194174757281553,0.00018667095455394,NA,NA,0.805825242718447,0.00153402863643336,NA,NA,0.961165048543689,0.000365949000016634,NA,NA,0.0388349514563107,0.000365949000016634,NA,NA,NA,NA,NA,NA,0.838383838383838,0.00138261610123082,NA,NA
2022,"charter","CI",172,0,128,167,5,5,0,0,0.0271195685698985,7.49430952437019e-05,0.744186046511628,0.00111329341923404,0.417818167012301,0.000978690226431773,0.970930232558139,0.000165056819080331,0.946187357740129,0.000101339350031126,0.0290697674418605,0.000165056819080331,0.0538126422598707,9.2242513287127e-05,0,0,NA,NA,0.766467065868264,0.00107828495667204,0.441744661248308,0.0010419950764388
2023,"charter","CI",144,1,78,136,8,7,0.00694444444444444,4.82253086419753e-05,0.0271195685698985,7.49430952437019e-05,0.541666666666667,0.00173611111111111,0.417818167012301,0.000978690226431773,0.944444444444444,0.0003669170335837,0.946187357740129,0.000101339350031126,0.0555555555555556,0.0003669170335837,0.0538126422598707,9.2242513287127e-05,0.125,0.015625,NA,NA,0.573529411764706,0.0018118031526336,0.441744661248308,0.0010419950764388
1993,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"charter","EASTSIDE",5,0,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"charter","EASTSIDE",9,0,8,9,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
1999,"charter","EASTSIDE",4,0,4,4,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2000,"charter","EASTSIDE",22,0,21,22,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2001,"charter","EASTSIDE",2,0,2,2,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2002,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2003,"charter","EASTSIDE",13,0,12,13,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2004,"charter","EASTSIDE",2,0,2,2,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2005,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2006,"charter","EASTSIDE",20,3,13,17,3,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2007,"charter","EASTSIDE",26,0,26,26,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2008,"charter","EASTSIDE",1,1,0,0,1,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2009,"charter","EASTSIDE",50,0,50,50,0,0,0,0,0.0234593837535014,0.000863077315410329,1,0,0.915616246498599,0.00638253789958845,1,0,0.970588235294118,0.00149378635823592,0,0,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,1,0,0.942307692307692,0.00273143617305068
2010,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2011,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2012,"charter","EASTSIDE",25,0,21,25,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2013,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2014,"charter","EASTSIDE",0,0,0,0,0,0,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2015,"charter","EASTSIDE",26,0,21,25,1,1,NA,NA,0.0234593837535014,0.000863077315410329,NA,NA,0.915616246498599,0.00638253789958845,NA,NA,0.970588235294118,0.00149378635823592,NA,NA,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,NA,NA,0.942307692307692,0.00273143617305068
2016,"charter","EASTSIDE",56,3,47,52,4,1,0.0535714285714286,0.000921846011131725,0.0234593837535014,0.000863077315410329,0.839285714285714,0.00245245825602968,0.915616246498599,0.00638253789958845,0.928571428571429,0.00120593692022263,0.970588235294118,0.00149378635823592,0.0714285714285714,0.00120593692022263,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,0.903846153846154,0.00170408400046409,0.942307692307692,0.00273143617305068
2017,"charter","EASTSIDE",119,2,108,117,2,0,0.0168067226890756,0.000140036074250238,0.0234593837535014,0.000863077315410329,0.907563025210084,0.000710952376962749,0.915616246498599,0.00638253789958845,0.983193277310924,0.000140036074250239,0.970588235294118,0.00149378635823592,0.0168067226890756,0.000140036074250238,0.0294117647058823,0.00148985727434234,NA,NA,NA,NA,0.923076923076923,0.000612119975515201,0.942307692307692,0.00273143617305068
