gLicNum,regnum,BusinessName,HomePort,logbooknum,vesselID,vesselName,logpagenum,logdate,starttime,port_SiteStart,port_Site,page_Num,totalPages,port_reg,port_swhs,port_iphc,Port_Hal_Area,prime_Salm,salm_reg,salm_swhs,salm_iphc,prime_Bott,bott_reg,bott_swhs,bott_iphc,iphc,swhs,region,t_Anglers,thrs_salm,thrs_Bott,nClient,rClient,comp,crew,UnknownClientType,kingLKept,kingLRel,kingSKept,kingSRel,cohoKept,cohoRel,sockKept,OtherSalmonKept,halKept,halRel,HalGAF,lingKept,lingRel,pRockKept,pRockRel,yRockKept,YRockRel,ORockKept,oRockRel,SableKept,SableRel,sharkKept,OtherKept
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,108,6/6/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515905,SC,P ,3A,3A,P ,SC,6,NULL,5,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12,0,NULL,NULL,NULL,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,110,6/10/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,5,3,2,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,0,NULL,NULL,NULL,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,119,6/20/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515905,SC,P ,3A,3A,P ,SC,5,NULL,5,4,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8,0,NULL,NULL,NULL,6,0,NULL,NULL,3,0,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,131,7/4/2025,4:AM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,6,3,3,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,12,1,NULL,NULL,NULL,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,152,7/29/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,5,4,1,3,2,0,0,0,NULL,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,NULL,7,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,154,8/2/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,6,1,4,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,12,1,NULL,NULL,NULL,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,162,8/12/2025,1:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,2,3,1,0,2,0,0,0,2,0,NULL,NULL,3,0,NULL,0,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,164,8/15/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,5,2,4,4,0,1,0,0,1,0,NULL,NULL,2,0,NULL,0,9,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,178,9/8/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515905,SC,P ,3A,3A,P ,SC,5,NULL,5,4,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,9,1,NULL,NULL,NULL,8,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10068,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,1066220,VENGENCE,112,6/20/2025,3:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,NULL,NULL,NULL,NULL,181605,SE,H ,3A,3A,H ,SE,6,NULL,7,5,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,0,4,3,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
18874,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,AK2763AG,QUEST,124,6/26/2025,4:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,181605,SE,H ,3A,181605,SE,H ,3A,3A,H ,SE,5,1,7,4,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5,0,NULL,5,0,NULL,NULL,2,0,NULL,NULL,NULL,NULL,NULL,NULL
18874,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,AK2763AG,QUEST,134,7/10/2025,3:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,NULL,NULL,NULL,NULL,181605,SE,H ,3A,3A,H ,SE,6,NULL,8,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,0,NULL,1,0,1,0,1,0,1,0,NULL,NULL,NULL,NULL
10068,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,1066220,VENGENCE,120,7/11/2025,3:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,NULL,NULL,NULL,NULL,181605,SE,H ,3A,3A,H ,SE,5,NULL,8,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5,0,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,NULL,NULL,NULL,NULL
18874,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,AK2763AG,QUEST,150,8/4/2025,12:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,181605,SE,H ,3A,181605,SE,H ,3A,3A,H ,SE,6,1,5,6,0,0,0,0,NULL,NULL,NULL,NULL,9,0,NULL,0,4,0,NULL,2,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18874,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,AK2763AG,QUEST,158,8/17/2025,4:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,NULL,NULL,NULL,NULL,181605,SE,H ,3A,3A,H ,SE,5,NULL,9,5,0,0,0,0,NULL,NULL,NULL,NULL,3,0,NULL,0,5,0,NULL,3,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18874,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,AK2763AG,QUEST,173,8/28/2025,3:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,181605,SE,H ,3A,181605,SE,H ,3A,3A,H ,SE,6,2,6,6,0,0,0,0,NULL,NULL,NULL,NULL,12,0,NULL,0,6,0,1,6,0,16,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10068,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT BAY/YAKUTAT,2510069,AK4022AE,WHITE TAIL,168,9/2/2025,3:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,181605,SE,H ,3A,181605,SE,H ,3A,3A,H ,SE,6,4,2,6,0,0,0,0,NULL,NULL,NULL,NULL,36,0,NULL,0,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18874,10069,THE YAKUTAT CHARTER BOAT COMPANY,YAKUTAT,2510069,AK2763AG,QUEST,188,9/20/2025,3:PM,NULL,YAKUTAT,1,1,SE,H ,3A,H    ,NULL,NULL,NULL,NULL,181605,SE,H ,3A,3A,H ,SE,6,NULL,8,6,0,0,0,0,NULL,NULL,NULL,NULL,1,0,NULL,0,5,0,NULL,2,0,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10074,10075,Big Reid Guide Service,SEWARD,2510075,AK4088N,REEL QUICK,108,7/30/2025,1:PM,NULL,SEWARD,1,1,SC,PS,3A,NG   ,495932,SC,PS,3A,495932,SC,PS,3A,3A,PS,SC,5,5,1,4,0,0,1,0,NULL,NULL,NULL,NULL,13,0,NULL,0,NULL,NULL,NULL,NULL,NULL,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18699,10077,FISH MAGNET GUIDE SERVICE,HOMER,2510077,AK8357M,FISH MAGNET,103,5/15/2025,2:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222010,SC,P ,3A,515936,SC,P ,3A,3A,P ,SC,6,3,3,5,1,0,0,0,2,0,NULL,NULL,NULL,NULL,NULL,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18699,10077,FISH MAGNET GUIDE SERVICE,HOMER,2510077,AK8357M,FISH MAGNET,111,6/20/2025,4:PM,NULL,ANCHOR POINT,1,1,SC,P ,3A,CCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,5,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18699,10077,FISH MAGNET GUIDE SERVICE,HOMER,2510077,AK8357M,FISH MAGNET,116,7/4/2025,3:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,4,4,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18699,10077,FISH MAGNET GUIDE SERVICE,HOMER,2510077,AK8357M,FISH MAGNET,119,7/7/2025,2:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515906,SC,P ,3A,3A,P ,SC,6,NULL,4,3,3,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10021,10022,"BRIAN PETERSON MASTER GUIDE, LLC",UGAK BAY,2510022,586930,STREAMER,100,7/11/2025,5:PM,NULL,UGAK BAY,1,1,SC,Q ,3A,Q3A  ,NULL,NULL,NULL,NULL,525701,SC,Q ,3A,3A,Q ,SC,6,NULL,8,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,5,0,11,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10021,10022,"BRIAN PETERSON MASTER GUIDE, LLC",UGAK BAY,2510022,586930,STREAMER,113,7/28/2025,5:PM,NULL,UGAK BAY,1,1,SC,Q ,3A,Q3A  ,25942,SC,Q ,3A,525701,SC,Q ,3A,3A,Q ,SC,6,5,5,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,8,0,NULL,5,0,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10021,10022,"BRIAN PETERSON MASTER GUIDE, LLC",UGAK BAY,2510022,586930,STREAMER,115,8/1/2025,5:PM,NULL,UGAK BAY,1,1,SC,Q ,3A,Q3A  ,NULL,NULL,NULL,NULL,525701,SC,Q ,3A,3A,Q ,SC,6,NULL,10,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,0,NULL,6,0,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10021,10022,"BRIAN PETERSON MASTER GUIDE, LLC",UGAK BAY,2510022,586930,STREAMER,122,8/10/2025,5:PM,NULL,UGAK BAY,1,1,SC,Q ,3A,Q3A  ,25944,SC,Q ,3A,525701,SC,Q ,3A,3A,Q ,SC,6,1,9,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,0,NULL,2,0,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10028,10029,GOOD TIME CHARTERS,HOMER,2510029,1197854,NONAS ARK,113,7/19/2025,3:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,3,NULL,6,3,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,104,5/26/2025,7:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515901,SC,P ,3A,3A,P ,SC,5,NULL,3,2,0,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,106,6/3/2025,7:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515933,SC,P ,3A,3A,P ,SC,6,NULL,4,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,116,7/5/2025,4:AM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222050,SC,P ,3A,525902,SC,P ,3A,3A,P ,SC,6,3,3,6,0,0,0,0,1,0,2,0,NULL,NULL,NULL,0,8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,119,7/12/2025,5:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515901,SC,P ,3A,3A,P ,SC,4,NULL,5,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,0,NULL,3,0,3,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,126,7/22/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515933,SC,P ,3A,3A,P ,SC,5,NULL,5,4,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,127,7/24/2025,6:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,4,NULL,4,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,130,7/28/2025,6:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515901,SC,P ,3A,3A,P ,SC,6,NULL,7,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,12,0,1,0,2,0,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,133,8/1/2025,1:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515905,SC,P ,3A,3A,P ,SC,5,NULL,5,4,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,2,3,0,1,10,1,NULL,NULL,1,0,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,139,8/14/2025,7:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,6,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,140,10/2/2025,7:PM,NULL,KODIAK,1,1,SC,Q ,3A,Q3A  ,NULL,NULL,NULL,NULL,535732,SC,Q ,3A,3A,Q ,SC,4,NULL,2,3,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,142,10/8/2025,6:PM,NULL,KODIAK,1,1,SC,Q ,3A,Q3A  ,NULL,NULL,NULL,NULL,535732,SC,Q ,3A,3A,Q ,SC,6,NULL,3,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,144,12/5/2025,11:AM,NULL,KODIAK,1,1,SC,Q ,3A,Q3A  ,NULL,NULL,NULL,NULL,535732,SC,Q ,3A,3A,Q ,SC,6,NULL,2,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0,6,0,6,0,NULL,NULL,NULL,NULL
18699,10077,FISH MAGNET GUIDE SERVICE,HOMER,2510077,AK8357M,FISH MAGNET,135,8/2/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,7,5,1,0,0,0,NULL,NULL,NULL,NULL,1,0,NULL,0,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18699,10077,FISH MAGNET GUIDE SERVICE,HOMER,2510077,AK8357M,FISH MAGNET,139,8/11/2025,4:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,2,NULL,7,2,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10088,10089,FORGET ME KNOT CHARTERS,KETCHIKAN,2510089,AK5448K,SILVER LADY,115,6/4/2025,2:PM,NULL,KETCHIKAN,1,1,SE,A ,2C,A    ,101900,SE,A ,2C,NULL,NULL,NULL,NULL,2C,A ,SE,5,3,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10088,10089,FORGET ME KNOT CHARTERS,KETCHIKAN,2510089,AK5448K,SILVER LADY,120,6/10/2025,11:AM,NULL,KETCHIKAN,1,1,SE,A ,2C,A    ,101900,SE,A ,2C,NULL,NULL,NULL,NULL,2C,A ,SE,5,3,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10088,10089,FORGET ME KNOT CHARTERS,KETCHIKAN,2510089,AK5448K,SILVER LADY,124,6/13/2025,7:PM,NULL,KETCHIKAN,1,1,SE,A ,2C,A    ,101900,SE,A ,2C,NULL,NULL,NULL,NULL,2C,A ,SE,4,3,NULL,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10088,10089,FORGET ME KNOT CHARTERS,KETCHIKAN,2510089,AK5448K,SILVER LADY,140,6/28/2025,4:PM,NULL,KETCHIKAN,1,1,SE,A ,2C,A    ,101900,SE,A ,2C,NULL,NULL,NULL,NULL,2C,A ,SE,5,3,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,2,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10088,10089,FORGET ME KNOT CHARTERS,KETCHIKAN,2510089,AK5448K,SILVER LADY,154,7/15/2025,11:AM,NULL,KETCHIKAN,1,1,SE,A ,2C,A    ,101900,SE,A ,2C,NULL,NULL,NULL,NULL,2C,A ,SE,6,3,NULL,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10088,10089,FORGET ME KNOT CHARTERS,KETCHIKAN,2510089,AK5448K,SILVER LADY,159,7/19/2025,4:PM,NULL,KETCHIKAN,1,1,SE,A ,2C,A    ,101900,SE,A ,2C,NULL,NULL,NULL,NULL,2C,A ,SE,5,3,NULL,5,0,0,0,0,NULL,NULL,0,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
